"Model","battery_mah","ram","storage","lunch_year","used_month","battery_health","price"
"iPhone 16","3561","8","128","2024","14","81","73949"
"iPhone 14","3279","6","128","2022","38","67","52534"
"iPhone 14","3279","6","128","2022","38","69","47529"
"iPhone 12 mini","2227","4","64","2020","60","59","19454"
"iPhone 7 Plus","2900","3","32","2016","110","72","4101"
"iPhone 7 Plus","2900","3","32","2016","110","88","4482"
"iPhone 7 Plus","2900","3","32","2016","110","94","8298"
"iPhone SE (1st gen)","1624","2","16","2016","116","66","1854"
"iPhone XR","2942","3","64","2018","86","61","12987"
"iPhone 7 Plus","2900","3","32","2016","110","85","4862"
"iPhone 15 Pro","3343","8","128","2023","26","53","54865"
"iPhone 11 Pro","3046","4","64","2019","74","53","27581"
"iPhone 11 Pro","3046","4","64","2019","74","84","32930"
"iPhone 11 Pro Max","3969","4","64","2019","74","94","45953"
"iPhone 6s Plus","2750","2","16","2015","122","96","4571"
"iPhone X","2716","3","64","2017","96","75","4735"
"iPhone XS Max","3174","4","64","2018","86","97","21099"
"iPhone 5c","1507","1","8","2013","146","68","2394"
"iPhone 15 Plus","4395","6","128","2023","26","64","56118"
"iPhone 5c","1507","1","8","2013","146","98","3751"
"iPhone 13 Pro","3095","6","128","2021","50","83","60599"
"iPhone XS","2658","4","64","2018","86","71","15309"
"iPhone 16 Pro Max","4685","8","256","2024","14","67","90656"
"iPhone 15 Pro Max","4422","8","256","2023","26","85","106728"
"iPhone 15 Pro","3343","8","128","2023","26","96","95670"
"iPhone 16 Plus","4674","8","128","2024","14","96","106754"
"iPhone SE (1st gen)","1624","2","16","2016","116","60","1557"
"iPhone 12","2815","4","64","2020","61","94","41337"
"iPhone 11 Pro","3046","4","64","2019","74","58","24768"
"iPhone 11 Pro","3046","4","64","2019","74","81","25211"
"iPhone 5c","1507","1","8","2013","146","68","2620"
"iPhone 16 Pro Max","4685","8","256","2024","14","74","105634"
"iPhone 14 Pro Max","4323","6","128","2022","38","57","58837"
"iPhone 5","1440","1","16","2012","158","97","4631"
"iPhone X","2716","3","64","2017","96","88","6198"
"iPhone 15","3349","6","128","2023","26","85","67332"
"iPhone 5s","1560","1","16","2013","146","81","3651"
"iPhone 16 Plus","4674","8","128","2024","14","80","87053"
"iPhone 15 Pro","3343","8","128","2023","26","56","56909"
"iPhone XS Max","3174","4","64","2018","86","76","8312"
"iPhone 15 Pro","3343","8","128","2023","26","89","96764"
"iPhone 12 mini","2227","4","64","2020","60","89","37564"
"iPhone 6","1810","1","16","2014","134","85","4028"
"iPhone 6s","1715","2","16","2015","122","87","3937"
"iPhone 15 Pro Max","4422","8","256","2023","26","57","65494"
"iPhone 16 Pro","3582","8","128","2024","14","95","106901"
"iPhone 12","2815","4","64","2020","61","85","33104"
"iPhone SE (1st gen)","1624","2","16","2016","116","55","1430"
"iPhone 13","3227","4","128","2021","50","87","45382"
"iPhone 16","3561","8","128","2024","14","69","66284"
"iPhone 7 Plus","2900","3","32","2016","110","59","2741"
"iPhone 12 mini","2227","4","64","2020","60","66","27138"
"iPhone SE (1st gen)","1624","2","16","2016","116","95","2850"
"iPhone 5","1440","1","16","2012","158","73","3112"
"iPhone 15","3349","6","128","2023","26","62","50227"
"iPhone 6s","1715","2","16","2015","122","81","3262"
"iPhone 16","3561","8","128","2024","14","91","78629"
"iPhone 12 Pro Max","3687","6","128","2020","60","52","31408"
"iPhone 12 mini","2227","4","64","2020","60","67","31530"
"iPhone 8","1821","2","64","2017","98","84","4128"
"iPhone 16","3561","8","128","2024","14","59","58945"
"iPhone 6s","1715","2","16","2015","122","89","4066"
"iPhone 14","3279","6","128","2022","38","93","56546"
"iPhone 11 Pro","3046","4","64","2019","74","67","28604"
"iPhone 6","1810","1","16","2014","134","56","2736"
"iPhone 14 Pro Max","4323","6","128","2022","38","87","79429"
"iPhone 14","3279","6","128","2022","38","81","57624"
"iPhone 12 Pro Max","3687","6","128","2020","60","97","61233"
"iPhone 15","3349","6","128","2023","26","75","59706"
"iPhone X","2716","3","64","2017","96","51","3063"
"iPhone XR","2942","3","64","2018","86","90","15637"
"iPhone 16","3561","8","128","2024","14","91","84508"
"iPhone 11","3110","4","64","2019","74","90","21129"
"iPhone 5","1440","1","16","2012","158","56","2467"
"iPhone 5c","1507","1","8","2013","146","92","3568"
"iPhone 14 Pro Max","4323","6","128","2022","38","96","89655"
"iPhone 14 Pro","3200","6","128","2022","38","95","87414"
"iPhone 13 Pro Max","4352","6","128","2021","50","97","69562"
"iPhone 12","2815","4","64","2020","61","78","29492"
"iPhone 12 Pro Max","3687","6","128","2020","60","54","25055"
"iPhone 13","3227","4","128","2021","50","82","44448"
"iPhone 16 Pro Max","4685","8","256","2024","14","56","87124"
"iPhone 5s","1560","1","16","2013","146","64","2654"
"iPhone 12 mini","2227","4","64","2020","60","61","28545"
"iPhone X","2716","3","64","2017","96","96","25016"
"iPhone 15 Plus","4395","6","128","2023","26","58","55074"
"iPhone 12 mini","2227","4","64","2020","60","89","28076"
"iPhone 15 Pro","3343","8","128","2023","26","84","79096"
"iPhone 15 Pro","3343","8","128","2023","26","56","61767"
"iPhone 6s","1715","2","16","2015","122","67","3235"
"iPhone 12 mini","2227","4","64","2020","60","52","17914"
"iPhone X","2716","3","64","2017","96","60","7722"
"iPhone SE (1st gen)","1624","2","16","2016","116","64","1803"
"iPhone 16","3561","8","128","2024","14","76","67770"
"iPhone 7 Plus","2900","3","32","2016","110","98","5030"
"iPhone 12 mini","2227","4","64","2020","60","81","29499"
"iPhone 14 Pro Max","4323","6","128","2022","38","96","81105"
"iPhone 13 Pro","3095","6","128","2021","50","59","41747"
"iPhone 14 Plus","4325","6","128","2022","37","81","59776"
"iPhone 15 Pro Max","4422","8","256","2023","26","54","67377"
"iPhone 6s","1715","2","16","2015","122","91","4198"
"iPhone 14 Pro","3200","6","128","2022","38","74","74906"
"iPhone 11","3110","4","64","2019","74","96","19634"
"iPhone 12","2815","4","64","2020","61","73","29226"
"iPhone 14 Pro","3200","6","128","2022","38","93","80074"
"iPhone 15 Plus","4395","6","128","2023","26","56","48927"
"iPhone 6 Plus","2915","1","16","2014","134","90","4566"
"iPhone XS Max","3174","4","64","2018","86","78","20734"
"iPhone 16 Pro","3582","8","128","2024","14","72","86446"
"iPhone XS Max","3174","4","64","2018","86","59","6650"
"iPhone 15","3349","6","128","2023","26","56","43689"
"iPhone 14 Plus","4325","6","128","2022","37","59","48853"
"iPhone 16 Pro Max","4685","8","256","2024","14","89","127167"
"iPhone 6s","1715","2","16","2015","122","61","2717"
"iPhone 5","1440","1","16","2012","158","88","3858"
"iPhone 16 Plus","4674","8","128","2024","14","73","70628"
"iPhone 12 mini","2227","4","64","2020","60","96","36711"
"iPhone 6s","1715","2","16","2015","122","80","3771"
"iPhone 11 Pro Max","3969","4","64","2019","74","54","11150"
"iPhone 16","3561","8","128","2024","14","91","87862"
"iPhone XS Max","3174","4","64","2018","86","72","11767"
"iPhone 13 Pro","3095","6","128","2021","50","70","44929"
"iPhone X","2716","3","64","2017","96","78","9277"
"iPhone 11 Pro Max","3969","4","64","2019","74","100","50134"
"iPhone 5c","1507","1","8","2013","146","58","2420"
"iPhone 7","1960","2","32","2016","110","55","2439"
"iPhone 16 Pro Max","4685","8","256","2024","14","97","137311"
"iPhone 14 Plus","4325","6","128","2022","37","70","48866"
"iPhone 15","3349","6","128","2023","26","93","71822"
"iPhone 15 Pro Max","4422","8","256","2023","26","79","95925"
"iPhone 13 mini","2438","4","128","2021","50","56","23588"
"iPhone 15 Pro","3343","8","128","2023","26","100","102102"
"iPhone 6s","1715","2","16","2015","122","77","3513"
"iPhone 6 Plus","2915","1","16","2014","134","85","4433"
"iPhone 12 Pro","2815","6","128","2020","61","77","42450"
"iPhone 16 Plus","4674","8","128","2024","14","87","93347"
"iPhone 11 Pro Max","3969","4","64","2019","74","59","20600"
"iPhone 16 Plus","4674","8","128","2024","14","63","68421"
"iPhone 11 Pro Max","3969","4","64","2019","74","91","40366"
"iPhone 15 Plus","4395","6","128","2023","26","54","53175"
"iPhone 11 Pro","3046","4","64","2019","74","93","40733"
"iPhone 16 Pro","3582","8","128","2024","14","87","99715"
"iPhone XS Max","3174","4","64","2018","86","75","5644"
"iPhone 6s","1715","2","16","2015","122","99","4676"
"iPhone 13 Pro Max","4352","6","128","2021","50","89","67714"
"iPhone XR","2942","3","64","2018","86","79","21703"
"iPhone SE (1st gen)","1624","2","16","2016","116","53","1432"
"iPhone 15 Pro Max","4422","8","256","2023","26","62","74814"
"iPhone 15 Pro","3343","8","128","2023","26","94","84776"
"iPhone 12","2815","4","64","2020","61","99","56704"
"iPhone 12 Pro Max","3687","6","128","2020","60","98","49090"
"iPhone 12 Pro","2815","6","128","2020","61","64","40161"
"iPhone 14 Pro","3200","6","128","2022","38","89","74919"
"iPhone X","2716","3","64","2017","96","76","5162"
"iPhone 5","1440","1","16","2012","158","84","3616"
"iPhone 6s Plus","2750","2","16","2015","122","85","4101"
"iPhone 5s","1560","1","16","2013","146","52","2237"
"iPhone XR","2942","3","64","2018","86","98","7708"
"iPhone 16 Pro Max","4685","8","256","2024","14","57","80550"
"iPhone 8 Plus","2691","3","64","2017","98","95","10671"
"iPhone 6 Plus","2915","1","16","2014","134","82","4360"
"iPhone 12","2815","4","64","2020","61","63","28827"
"iPhone 13","3227","4","128","2021","50","67","28433"
"iPhone 14 Plus","4325","6","128","2022","37","54","45620"
"iPhone 15","3349","6","128","2023","26","56","46428"
"iPhone 6s Plus","2750","2","16","2015","122","96","4694"
"iPhone 16 Plus","4674","8","128","2024","14","87","97057"
"iPhone 5","1440","1","16","2012","158","97","4528"
"iPhone 13 Pro","3095","6","128","2021","50","79","46133"
"iPhone 14","3279","6","128","2022","38","71","42722"
"iPhone XS","2658","4","64","2018","86","51","3608"
"iPhone 16 Plus","4674","8","128","2024","14","77","84063"
"iPhone 6","1810","1","16","2014","134","82","3844"
"iPhone 12 Pro","2815","6","128","2020","61","54","25370"
"iPhone 8 Plus","2691","3","64","2017","98","78","4341"
"iPhone 13","3227","4","128","2021","50","95","51610"
"iPhone 14 Plus","4325","6","128","2022","37","87","71272"
"iPhone 16 Pro","3582","8","128","2024","14","62","72720"
"iPhone 15","3349","6","128","2023","26","77","70163"
"iPhone 5s","1560","1","16","2013","146","67","2892"
"iPhone XR","2942","3","64","2018","86","91","14838"
"iPhone 15 Pro Max","4422","8","256","2023","26","58","62144"
"iPhone 7 Plus","2900","3","32","2016","110","75","3798"
"iPhone XS Max","3174","4","64","2018","86","86","26786"
"iPhone 12 mini","2227","4","64","2020","60","91","33305"
"iPhone 6 Plus","2915","1","16","2014","134","91","4694"
"iPhone XS","2658","4","64","2018","86","54","13902"
"iPhone 13 Pro","3095","6","128","2021","50","67","43926"
"iPhone XR","2942","3","64","2018","86","89","16144"
"iPhone 7 Plus","2900","3","32","2016","110","88","4239"
"iPhone XS Max","3174","4","64","2018","86","97","37159"
"iPhone 13","3227","4","128","2021","50","89","42776"
"iPhone 8 Plus","2691","3","64","2017","98","97","5222"
"iPhone 14 Pro Max","4323","6","128","2022","38","85","74800"
"iPhone 13 Pro Max","4352","6","128","2021","50","62","42934"
"iPhone 15","3349","6","128","2023","26","81","58267"
"iPhone 13 Pro Max","4352","6","128","2021","50","51","41731"
"iPhone 6s Plus","2750","2","16","2015","122","81","4336"
"iPhone 14 Pro","3200","6","128","2022","38","89","76238"
"iPhone 7 Plus","2900","3","32","2016","110","85","4442"
"iPhone 5s","1560","1","16","2013","146","53","2224"
"iPhone 14 Pro","3200","6","128","2022","38","53","39501"
"iPhone 5c","1507","1","8","2013","146","75","2782"
"iPhone 16 Pro","3582","8","128","2024","14","79","97077"
"iPhone XS","2658","4","64","2018","86","89","31758"
"iPhone X","2716","3","64","2017","96","69","4570"
"iPhone 14","3279","6","128","2022","38","58","40414"
"iPhone 7","1960","2","32","2016","110","73","3028"
"iPhone 12 Pro","2815","6","128","2020","61","57","35718"
"iPhone 14 Pro","3200","6","128","2022","38","73","65605"
"iPhone 16 Pro Max","4685","8","256","2024","14","58","87861"
"iPhone 16 Plus","4674","8","128","2024","14","99","117557"
"iPhone 15","3349","6","128","2023","26","94","73147"
"iPhone 5","1440","1","16","2012","158","87","3849"
"iPhone 16 Pro","3582","8","128","2024","14","62","78589"
"iPhone 5","1440","1","16","2012","158","71","3118"
"iPhone 15 Plus","4395","6","128","2023","26","52","49832"
"iPhone 6s Plus","2750","2","16","2015","122","73","3349"
"iPhone 13 Pro Max","4352","6","128","2021","50","98","77332"
"iPhone 6s","1715","2","16","2015","122","51","2293"
"iPhone 16 Plus","4674","8","128","2024","14","88","92150"
"iPhone 13 Pro","3095","6","128","2021","50","60","41830"
"iPhone 5","1440","1","16","2012","158","93","3849"
"iPhone 5s","1560","1","16","2013","146","65","3024"
"iPhone 16 Plus","4674","8","128","2024","14","90","106724"
"iPhone 6","1810","1","16","2014","134","76","3276"
"iPhone 13","3227","4","128","2021","50","69","37653"
"iPhone 16","3561","8","128","2024","14","86","75214"
"iPhone 12 Pro","2815","6","128","2020","61","62","34392"
"iPhone 16 Pro","3582","8","128","2024","14","94","116120"
"iPhone 12","2815","4","64","2020","61","68","24668"
"iPhone 6 Plus","2915","1","16","2014","134","69","3700"
"iPhone 14 Pro Max","4323","6","128","2022","38","86","78422"
"iPhone 13 mini","2438","4","128","2021","50","90","43534"
"iPhone 6 Plus","2915","1","16","2014","134","60","3131"
"iPhone 8 Plus","2691","3","64","2017","98","65","10556"
"iPhone 7 Plus","2900","3","32","2016","110","75","4200"
"iPhone 11 Pro Max","3969","4","64","2019","74","71","16660"
"iPhone 13 Pro Max","4352","6","128","2021","50","73","55102"
"iPhone XS","2658","4","64","2018","86","92","23940"
"iPhone 12","2815","4","64","2020","61","75","32152"
"iPhone 14 Pro","3200","6","128","2022","38","66","47507"
"iPhone 11","3110","4","64","2019","74","62","19153"
"iPhone 7 Plus","2900","3","32","2016","110","68","3804"
"iPhone 15 Pro Max","4422","8","256","2023","26","65","81655"
"iPhone 7 Plus","2900","3","32","2016","110","59","2978"
"iPhone 14 Plus","4325","6","128","2022","37","63","43311"
"iPhone 12","2815","4","64","2020","61","99","45048"
"iPhone 15 Pro Max","4422","8","256","2023","26","66","83982"
"iPhone 7 Plus","2900","3","32","2016","110","98","5795"
"iPhone 15 Pro Max","4422","8","256","2023","26","99","114994"
"iPhone 11 Pro Max","3969","4","64","2019","74","99","21658"
"iPhone 16 Plus","4674","8","128","2024","14","87","90912"
"iPhone 14 Pro Max","4323","6","128","2022","38","95","82031"
"iPhone 13 Pro","3095","6","128","2021","50","81","54861"
"iPhone 16 Pro Max","4685","8","256","2024","14","83","127541"
"iPhone 11 Pro","3046","4","64","2019","74","60","14003"
"iPhone 6s","1715","2","16","2015","122","99","4430"
"iPhone 15 Plus","4395","6","128","2023","26","98","89081"
"iPhone 14","3279","6","128","2022","38","69","46889"
"iPhone 14 Plus","4325","6","128","2022","37","94","65987"
"iPhone 13 Pro Max","4352","6","128","2021","50","91","64313"
"iPhone 14","3279","6","128","2022","38","87","55160"
"iPhone 7 Plus","2900","3","32","2016","110","61","3432"
"iPhone 6 Plus","2915","1","16","2014","134","97","4632"
"iPhone 11 Pro","3046","4","64","2019","74","71","21174"
"iPhone 7","1960","2","32","2016","110","60","2770"
"iPhone 12 mini","2227","4","64","2020","60","92","33270"
"iPhone 5c","1507","1","8","2013","146","90","3327"
"iPhone 14 Pro Max","4323","6","128","2022","38","57","53065"
"iPhone XS Max","3174","4","64","2018","86","52","12215"
"iPhone 16 Pro Max","4685","8","256","2024","14","88","131767"
"iPhone 14 Pro Max","4323","6","128","2022","38","99","101831"
"iPhone 5c","1507","1","8","2013","146","93","3259"
"iPhone 7","1960","2","32","2016","110","68","2945"
"iPhone 12 Pro Max","3687","6","128","2020","60","53","26837"
"iPhone X","2716","3","64","2017","96","89","20663"
"iPhone 15 Pro Max","4422","8","256","2023","26","67","79468"
"iPhone 11 Pro","3046","4","64","2019","74","85","43078"
"iPhone 7 Plus","2900","3","32","2016","110","51","2674"
"iPhone 12 Pro","2815","6","128","2020","61","96","56867"
"iPhone X","2716","3","64","2017","96","90","6656"
"iPhone 15 Pro Max","4422","8","256","2023","26","86","101589"
"iPhone 6 Plus","2915","1","16","2014","134","56","2691"
"iPhone 13 mini","2438","4","128","2021","50","57","22880"
"iPhone 12 Pro","2815","6","128","2020","61","59","25164"
"iPhone 7","1960","2","32","2016","110","93","3741"
"iPhone 7","1960","2","32","2016","110","100","4113"
"iPhone 5c","1507","1","8","2013","146","89","3226"
"iPhone 15 Plus","4395","6","128","2023","26","80","64136"
"iPhone 12 mini","2227","4","64","2020","60","84","30201"
"iPhone XR","2942","3","64","2018","86","80","6675"
"iPhone 7 Plus","2900","3","32","2016","110","93","4991"
"iPhone 8","1821","2","64","2017","98","93","4600"
"iPhone 6 Plus","2915","1","16","2014","134","55","2727"
"iPhone X","2716","3","64","2017","96","99","5987"
"iPhone 6s Plus","2750","2","16","2015","122","97","5160"
"iPhone 16 Pro","3582","8","128","2024","14","60","76801"
"iPhone 13","3227","4","128","2021","50","72","42067"
"iPhone 12","2815","4","64","2020","61","57","28594"
"iPhone 11 Pro Max","3969","4","64","2019","74","78","31750"
"iPhone 11 Pro Max","3969","4","64","2019","74","73","25436"
"iPhone XS","2658","4","64","2018","86","78","4955"
"iPhone 6 Plus","2915","1","16","2014","134","95","4931"
"iPhone 5","1440","1","16","2012","158","100","4409"
"iPhone 6s","1715","2","16","2015","122","56","2659"
"iPhone 8","1821","2","64","2017","98","54","3990"
"iPhone 13 Pro","3095","6","128","2021","50","57","35645"
"iPhone 16 Pro","3582","8","128","2024","14","80","101956"
"iPhone 12 Pro Max","3687","6","128","2020","60","74","47137"
"iPhone 11 Pro","3046","4","64","2019","74","58","27657"
"iPhone XS","2658","4","64","2018","86","82","25384"
"iPhone 6 Plus","2915","1","16","2014","134","75","3719"
"iPhone 12","2815","4","64","2020","61","58","28206"
"iPhone 15 Pro","3343","8","128","2023","26","89","98445"
"iPhone 15","3349","6","128","2023","26","76","59575"
"iPhone 5c","1507","1","8","2013","146","98","3728"
"iPhone 13","3227","4","128","2021","50","73","39021"
"iPhone 8 Plus","2691","3","64","2017","98","78","7756"
"iPhone 15","3349","6","128","2023","26","72","60110"
"iPhone 16 Plus","4674","8","128","2024","14","84","90767"
"iPhone 14 Pro Max","4323","6","128","2022","38","79","73920"
"iPhone 16 Pro","3582","8","128","2024","14","99","127864"
"iPhone 12","2815","4","64","2020","61","54","26852"
"iPhone 16 Pro","3582","8","128","2024","14","52","59623"
"iPhone 12 Pro Max","3687","6","128","2020","60","100","69837"
"iPhone XS Max","3174","4","64","2018","86","83","5852"
"iPhone 12 mini","2227","4","64","2020","60","56","18757"
"iPhone 14","3279","6","128","2022","38","79","60218"
"iPhone 16 Pro","3582","8","128","2024","14","52","57259"
"iPhone 6s Plus","2750","2","16","2015","122","91","4335"
"iPhone 15 Plus","4395","6","128","2023","26","91","84861"
"iPhone 14","3279","6","128","2022","38","61","34961"
"iPhone 15 Pro Max","4422","8","256","2023","26","61","74737"
"iPhone XS","2658","4","64","2018","86","82","9207"
"iPhone 16 Pro","3582","8","128","2024","14","67","73671"
"iPhone XR","2942","3","64","2018","86","68","3313"
"iPhone 12 mini","2227","4","64","2020","60","72","31297"
"iPhone 15 Plus","4395","6","128","2023","26","73","65509"
"iPhone 15 Pro","3343","8","128","2023","26","94","105932"
"iPhone 14 Pro","3200","6","128","2022","38","64","54234"
"iPhone 14","3279","6","128","2022","38","97","70040"
"iPhone 14 Pro","3200","6","128","2022","38","58","43799"
"iPhone 14","3279","6","128","2022","38","71","46706"
"iPhone 13 Pro Max","4352","6","128","2021","50","64","53567"
"iPhone XS Max","3174","4","64","2018","86","71","22270"
"iPhone 12 mini","2227","4","64","2020","60","74","29934"
"iPhone 5s","1560","1","16","2013","146","61","2736"
"iPhone 11 Pro","3046","4","64","2019","74","83","20420"
"iPhone 15","3349","6","128","2023","26","90","63758"
"iPhone 12 mini","2227","4","64","2020","60","94","38354"
"iPhone 6s","1715","2","16","2015","122","70","3093"
"iPhone 16 Plus","4674","8","128","2024","14","87","101475"
"iPhone 15 Pro","3343","8","128","2023","26","63","64210"
"iPhone 12","2815","4","64","2020","61","67","31611"
"iPhone XS Max","3174","4","64","2018","86","97","34163"
"iPhone 11 Pro","3046","4","64","2019","74","72","22852"
"iPhone 13 mini","2438","4","128","2021","50","85","38380"
"iPhone XS Max","3174","4","64","2018","86","99","7557"
"iPhone 13 mini","2438","4","128","2021","50","92","35620"
"iPhone 6","1810","1","16","2014","134","85","3922"
"iPhone 12 mini","2227","4","64","2020","60","82","26462"
"iPhone 15 Pro Max","4422","8","256","2023","26","94","127676"
"iPhone 13 Pro","3095","6","128","2021","50","97","78998"
"iPhone XS Max","3174","4","64","2018","86","65","23965"
"iPhone 12","2815","4","64","2020","61","94","40206"
"iPhone 6s","1715","2","16","2015","122","92","4205"
"iPhone 12 Pro","2815","6","128","2020","61","86","41988"
"iPhone 11","3110","4","64","2019","74","76","17551"
"iPhone 12","2815","4","64","2020","61","73","37261"
"iPhone 14 Plus","4325","6","128","2022","37","90","69720"
"iPhone 12","2815","4","64","2020","61","79","37791"
"iPhone 7","1960","2","32","2016","110","93","4080"
"iPhone 14 Pro Max","4323","6","128","2022","38","94","91253"
"iPhone 12","2815","4","64","2020","61","90","36965"
"iPhone 13","3227","4","128","2021","50","98","65088"
"iPhone 16","3561","8","128","2024","14","83","83039"
"iPhone X","2716","3","64","2017","96","64","16873"
"iPhone 16 Pro Max","4685","8","256","2024","14","63","92084"
"iPhone SE (1st gen)","1624","2","16","2016","116","51","1490"
"iPhone 15","3349","6","128","2023","26","56","50983"
"iPhone 11 Pro","3046","4","64","2019","74","65","32824"
"iPhone 16 Pro Max","4685","8","256","2024","14","61","83767"
"iPhone 8 Plus","2691","3","64","2017","98","71","6337"
"iPhone 14 Plus","4325","6","128","2022","37","96","70110"
"iPhone 5","1440","1","16","2012","158","74","3352"
"iPhone XR","2942","3","64","2018","86","86","6301"
"iPhone 6s Plus","2750","2","16","2015","122","78","3793"
"iPhone 12 Pro Max","3687","6","128","2020","60","100","49200"
"iPhone 5s","1560","1","16","2013","146","51","2417"
"iPhone 13 mini","2438","4","128","2021","50","57","31034"
"iPhone 8","1821","2","64","2017","98","76","3561"
"iPhone 12","2815","4","64","2020","61","86","39692"
"iPhone 7","1960","2","32","2016","110","75","3441"
"iPhone 14","3279","6","128","2022","38","65","46270"
"iPhone 11","3110","4","64","2019","74","76","25727"
"iPhone 15","3349","6","128","2023","26","89","67796"
"iPhone 14 Plus","4325","6","128","2022","37","53","38468"
"iPhone 11","3110","4","64","2019","74","59","21036"
"iPhone 15","3349","6","128","2023","26","52","40494"
"iPhone 15","3349","6","128","2023","26","56","47038"
"iPhone XR","2942","3","64","2018","86","94","21877"
"iPhone 11 Pro","3046","4","64","2019","74","79","39062"
"iPhone 5","1440","1","16","2012","158","77","3198"
"iPhone 15","3349","6","128","2023","26","84","77131"
"iPhone SE (1st gen)","1624","2","16","2016","116","70","2035"
"iPhone 7 Plus","2900","3","32","2016","110","52","2697"
"iPhone 11 Pro","3046","4","64","2019","74","80","15295"
"iPhone 14 Plus","4325","6","128","2022","37","67","54113"
"iPhone 16 Plus","4674","8","128","2024","14","57","59286"
"iPhone 6","1810","1","16","2014","134","88","3656"
"iPhone 11","3110","4","64","2019","74","59","9446"
"iPhone XR","2942","3","64","2018","86","59","12935"
"iPhone 7 Plus","2900","3","32","2016","110","56","3103"
"iPhone 12 mini","2227","4","64","2020","60","96","37044"
"iPhone 13 mini","2438","4","128","2021","50","76","31512"
"iPhone 16 Plus","4674","8","128","2024","14","80","79863"
"iPhone 8 Plus","2691","3","64","2017","98","72","12967"
"iPhone 14 Pro","3200","6","128","2022","38","84","74147"
"iPhone 15 Pro","3343","8","128","2023","26","82","84256"
"iPhone 14 Pro Max","4323","6","128","2022","38","65","59720"
"iPhone XS Max","3174","4","64","2018","86","77","28307"
"iPhone 5s","1560","1","16","2013","146","76","3362"
"iPhone 16 Plus","4674","8","128","2024","14","91","98412"
"iPhone 5c","1507","1","8","2013","146","56","2031"
"iPhone 13 Pro","3095","6","128","2021","50","53","32172"
"iPhone 14 Pro","3200","6","128","2022","38","88","68003"
"iPhone 8 Plus","2691","3","64","2017","98","61","3053"
"iPhone 6s Plus","2750","2","16","2015","122","72","3226"
"iPhone 14 Pro Max","4323","6","128","2022","38","73","68069"
"iPhone 15","3349","6","128","2023","26","66","55628"
"iPhone 13 Pro","3095","6","128","2021","50","91","63077"
"iPhone 5c","1507","1","8","2013","146","85","3082"
"iPhone 7 Plus","2900","3","32","2016","110","83","4532"
"iPhone X","2716","3","64","2017","96","55","11586"
"iPhone SE (1st gen)","1624","2","16","2016","116","59","1653"
"iPhone 14 Pro Max","4323","6","128","2022","38","51","48376"
"iPhone 13 Pro","3095","6","128","2021","50","53","33757"
"iPhone 13 Pro Max","4352","6","128","2021","50","93","69956"
"iPhone 11 Pro Max","3969","4","64","2019","74","52","20646"
"iPhone 15","3349","6","128","2023","26","62","50976"
"iPhone 16","3561","8","128","2024","14","54","52427"
"iPhone 15","3349","6","128","2023","26","82","66707"
"iPhone 8","1821","2","64","2017","98","65","4044"
"iPhone XS","2658","4","64","2018","86","80","5878"
"iPhone 14 Pro","3200","6","128","2022","38","57","48387"
"iPhone 13 mini","2438","4","128","2021","50","90","40211"
"iPhone 11 Pro Max","3969","4","64","2019","74","85","30542"
"iPhone 8","1821","2","64","2017","98","81","3982"
"iPhone 12 mini","2227","4","64","2020","60","62","17496"
"iPhone 11","3110","4","64","2019","74","68","11971"
"iPhone 5s","1560","1","16","2013","146","91","3785"
"iPhone 16","3561","8","128","2024","14","62","55470"
"iPhone 5s","1560","1","16","2013","146","89","4198"
"iPhone 15 Plus","4395","6","128","2023","26","81","79168"
"iPhone 14 Pro","3200","6","128","2022","38","99","81040"
"iPhone 6s Plus","2750","2","16","2015","122","92","4554"
"iPhone XR","2942","3","64","2018","86","96","18710"
"iPhone 15 Plus","4395","6","128","2023","26","75","72547"
"iPhone 7","1960","2","32","2016","110","57","2526"
"iPhone 5","1440","1","16","2012","158","63","2876"
"iPhone 6s","1715","2","16","2015","122","64","2951"
"iPhone XS Max","3174","4","64","2018","86","58","13879"
"iPhone 14","3279","6","128","2022","38","71","50781"
"iPhone 13 mini","2438","4","128","2021","50","98","43712"
"iPhone 15 Pro","3343","8","128","2023","26","98","103800"
"iPhone 8","1821","2","64","2017","98","72","12440"
"iPhone 7 Plus","2900","3","32","2016","110","96","4949"
"iPhone 15 Pro","3343","8","128","2023","26","99","97911"
"iPhone 12 mini","2227","4","64","2020","60","87","36771"
"iPhone 15 Pro","3343","8","128","2023","26","81","81379"
"iPhone 15 Pro Max","4422","8","256","2023","26","82","98512"
"iPhone 13 Pro","3095","6","128","2021","50","89","72742"
"iPhone 13","3227","4","128","2021","50","87","59035"
"iPhone 11 Pro Max","3969","4","64","2019","74","61","27411"
"iPhone 8","1821","2","64","2017","98","52","2466"
"iPhone 12 mini","2227","4","64","2020","60","87","38813"
"iPhone 13 mini","2438","4","128","2021","50","63","35486"
"iPhone SE (1st gen)","1624","2","16","2016","116","73","1950"
"iPhone XS Max","3174","4","64","2018","86","91","18546"
"iPhone 15 Pro Max","4422","8","256","2023","26","93","114762"
"iPhone 16 Plus","4674","8","128","2024","14","84","87186"
"iPhone 12","2815","4","64","2020","61","76","26651"
"iPhone 7 Plus","2900","3","32","2016","110","86","4628"
"iPhone 7","1960","2","32","2016","110","74","3287"
"iPhone 16 Pro","3582","8","128","2024","14","78","94159"
"iPhone 14","3279","6","128","2022","38","100","65376"
